
1 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 7 8
  7 5 6 8
  8 6 7 9
  9 8 10 11
 10 9 12 13
 11 9 12 13
 12 10 11 13
 13 10 11 12

2 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 7 8
  7 5 6 9
  8 6 9 10
  9 7 8 11
 10 8 12 13
 11 9 12 13
 12 10 11 13
 13 10 11 12

3 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 7 8
  7 5 6 9
  8 6 10 11
  9 7 10 12
 10 8 9 13
 11 8 12 13
 12 9 11 13
 13 10 11 12

4 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 7 8
  7 5 6 9
  8 6 10 11
  9 7 12 13
 10 8 11 12
 11 8 10 13
 12 9 10 13
 13 9 11 12

5 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 7 8
  7 5 6 9
  8 6 10 11
  9 7 12 13
 10 8 12 13
 11 8 12 13
 12 9 10 11
 13 9 10 11

6 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 8 9
  8 6 7 10
  9 6 7 11
 10 8 12 13
 11 9 12 13
 12 10 11 13
 13 10 11 12

7 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 8 10
  8 6 7 9
  9 6 8 11
 10 7 12 13
 11 9 12 13
 12 10 11 13
 13 10 11 12

8 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 8 10
  8 6 7 11
  9 6 10 12
 10 7 9 13
 11 8 12 13
 12 9 11 13
 13 10 11 12

9 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 8 10
  8 6 7 11
  9 6 11 12
 10 7 12 13
 11 8 9 13
 12 9 10 13
 13 10 11 12

10 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 8 10
  8 6 7 11
  9 6 12 13
 10 7 12 13
 11 8 12 13
 12 9 10 11
 13 9 10 11

11 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 10 11
  8 6 9 10
  9 6 8 12
 10 7 8 13
 11 7 12 13
 12 9 11 13
 13 10 11 12

12 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 10 11
  8 6 9 12
  9 6 8 12
 10 7 11 13
 11 7 10 13
 12 8 9 13
 13 10 11 12

13 14
  0 1 2 3
  1 0 2 3
  2 0 1 4
  3 0 1 4
  4 2 3 5
  5 4 6 7
  6 5 8 9
  7 5 10 11
  8 6 9 12
